No.,Time,Source,Destination,Protocol,Length,RTT,Info
240,5.278762,10.19.6.231,118.214.44.253,TCP,66,0.000075,55328  >  443 [ACK] Seq=6285 Ack=59579 Win=129600 Len=0 TSval=1054095680 TSecr=216036571
242,5.279172,10.19.6.231,118.214.44.253,TCP,66,0.000048,55328  >  443 [ACK] Seq=6285 Ack=61027 Win=128128 Len=0 TSval=1054095680 TSecr=216036571
244,5.283979,10.19.6.231,118.214.44.253,TCP,66,0.000073,55328  >  443 [ACK] Seq=6285 Ack=62475 Win=126720 Len=0 TSval=1054095685 TSecr=216036571
246,5.284439,10.19.6.231,118.214.44.253,TCP,66,0.000062,55328  >  443 [ACK] Seq=6285 Ack=63923 Win=125248 Len=0 TSval=1054095685 TSecr=216036571
250,5.289954,10.19.6.231,118.214.44.253,TCP,66,0.000089,55328  >  443 [ACK] Seq=6285 Ack=66748 Win=128192 Len=0 TSval=1054095689 TSecr=216036572
407,5.661914,172.217.160.142,10.19.6.231,TCP,66,0.001561,443  >  55260 [ACK] Seq=1 Ack=124 Win=334 Len=0 TSval=216036609 TSecr=1054096057
408,5.661918,172.217.160.142,10.19.6.231,TCP,66,0.001482,443  >  55260 [ACK] Seq=1 Ack=163 Win=334 Len=0 TSval=216036609 TSecr=1054096057
415,5.663404,172.217.160.142,10.19.6.231,TCP,66,0.00292,443  >  55260 [ACK] Seq=1 Ack=1611 Win=357 Len=0 TSval=216036609 TSecr=1054096057
416,5.663405,172.217.160.142,10.19.6.231,TCP,66,0.00292,443  >  55260 [ACK] Seq=1 Ack=1996 Win=379 Len=0 TSval=216036609 TSecr=1054096057
531,5.72242,10.19.6.231,172.217.160.142,TCP,66,0.000074,55260  >  443 [ACK] Seq=1996 Ack=40 Win=2047 Len=0 TSval=1054096116 TSecr=216036615
833,5.799167,10.19.6.231,31.13.79.18,TCP,66,0.000078,55010  >  443 [ACK] Seq=33 Ack=680 Win=2037 Len=0 TSval=1054096191 TSecr=216036622
841,5.860908,10.19.6.231,172.217.160.142,TCP,66,0.000091,55260  >  443 [ACK] Seq=1996 Ack=123 Win=2046 Len=0 TSval=1054096252 TSecr=216036629
843,5.861158,10.19.6.231,172.217.160.142,TCP,66,0.00005,55260  >  443 [ACK] Seq=1996 Ack=844 Win=2036 Len=0 TSval=1054096252 TSecr=216036629
845,5.862952,10.19.6.231,172.217.160.142,TCP,66,0.000078,55260  >  443 [ACK] Seq=1996 Ack=1082 Win=2044 Len=0 TSval=1054096254 TSecr=216036629
847,5.863242,10.19.6.231,172.217.160.142,TCP,66,0.000063,55260  >  443 [ACK] Seq=1996 Ack=1366 Win=2043 Len=0 TSval=1054096254 TSecr=216036629
849,5.86389,10.19.6.231,172.217.160.142,TCP,66,0.000086,55260  >  443 [ACK] Seq=1996 Ack=1405 Win=2047 Len=0 TSval=1054096254 TSecr=216036629
851,5.867881,172.217.160.142,10.19.6.231,TCP,66,0.001116,443  >  55260 [ACK] Seq=1405 Ack=2035 Win=379 Len=0 TSval=216036629 TSecr=1054096257
862,6.096078,13.227.178.155,10.19.6.231,TCP,66,0.001181,443  >  55294 [ACK] Seq=1 Ack=522 Win=169 Len=0 TSval=216036652 TSecr=1054096484
872,6.152032,10.19.6.231,13.227.178.155,TCP,66,0.000113,55294  >  443 [ACK] Seq=522 Ack=414 Win=2043 Len=0 TSval=1054096540 TSecr=216036658
885,6.880924,103.254.155.35,10.19.6.231,TCP,74,0.020575,"443  >  55329 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=9176 SACK_PERM=1 TSval=216036729 TSecr=1054097245 WS=128"
886,6.881003,10.19.6.231,103.254.155.35,TCP,66,0.000079,55329  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1054097265 TSecr=216036729
888,6.901665,104.81.18.27,10.19.6.231,TCP,74,0.027715,"443  >  55330 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=9176 SACK_PERM=1 TSval=216036731 TSecr=1054097258 WS=128"
889,6.901669,103.254.155.35,10.19.6.231,TCP,66,0.020352,443  >  55329 [ACK] Seq=1 Ack=556 Win=19456 Len=0 TSval=216036731 TSecr=1054097265
890,6.901762,10.19.6.231,104.81.18.27,TCP,66,0.000097,55330  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1054097285 TSecr=216036731
892,6.904484,104.81.18.27,10.19.6.231,TCP,66,0.00235,443  >  55330 [ACK] Seq=1 Ack=620 Win=19584 Len=0 TSval=216036733 TSecr=1054097285
895,7.084215,104.81.18.27,10.19.6.231,TCP,74,0.008162,"443  >  55331 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=9176 SACK_PERM=1 TSval=216036751 TSecr=1054097457 WS=128"
896,7.084228,118.214.44.253,10.19.6.231,TCP,66,0.002819,443  >  55292 [ACK] Seq=1 Ack=690 Win=210 Len=0 TSval=216036751 TSecr=1054097462
897,7.084477,10.19.6.231,104.81.18.27,TCP,66,0.000262,55331  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1054097464 TSecr=216036751
899,7.086271,104.81.18.27,10.19.6.231,TCP,66,0.001224,443  >  55331 [ACK] Seq=1 Ack=600 Win=19584 Len=0 TSval=216036751 TSecr=1054097464
901,7.137091,10.19.6.231,118.214.44.253,TCP,66,0.00029,55292  >  443 [ACK] Seq=690 Ack=406 Win=2041 Len=0 TSval=1054097514 TSecr=216036756
903,7.14485,118.214.44.253,10.19.6.231,TCP,66,0.001263,443  >  55292 [ACK] Seq=406 Ack=1422 Win=222 Len=0 TSval=216036757 TSecr=1054097520
908,7.181796,10.19.6.231,104.81.18.27,TCP,66,0.000109,55330  >  443 [ACK] Seq=620 Ack=261 Win=131456 Len=0 TSval=1054097557 TSecr=216036761
912,7.184711,104.81.18.27,10.19.6.231,TCP,66,0.001425,443  >  55330 [ACK] Seq=261 Ack=700 Win=19584 Len=0 TSval=216036761 TSecr=1054097558
913,7.184714,104.81.18.27,10.19.6.231,TCP,66,0.001192,443  >  55330 [ACK] Seq=261 Ack=786 Win=19584 Len=0 TSval=216036761 TSecr=1054097558
914,7.185024,104.81.18.27,10.19.6.231,TCP,66,0.001161,443  >  55330 [ACK] Seq=261 Ack=1344 Win=20864 Len=0 TSval=216036761 TSecr=1054097558
916,7.198061,10.19.6.231,118.214.44.253,TCP,66,0.000109,55292  >  443 [ACK] Seq=1422 Ack=1048 Win=2037 Len=0 TSval=1054097572 TSecr=216036762
918,7.227773,10.19.6.231,103.254.155.35,TCP,66,0.000087,55329  >  443 [ACK] Seq=556 Ack=157 Win=131584 Len=0 TSval=1054097601 TSecr=216036765
921,7.231786,103.254.155.35,10.19.6.231,TCP,66,0.001059,443  >  55329 [ACK] Seq=157 Ack=607 Win=19456 Len=0 TSval=216036766 TSecr=1054097603
922,7.232056,103.254.155.35,10.19.6.231,TCP,66,0.001088,443  >  55329 [ACK] Seq=157 Ack=1080 Win=20608 Len=0 TSval=216036766 TSecr=1054097603
924,7.236681,10.19.6.231,104.81.18.27,TCP,66,0.000144,55330  >  443 [ACK] Seq=1344 Ack=548 Win=131200 Len=0 TSval=1054097608 TSecr=216036766
926,7.236894,10.19.6.231,104.81.18.27,TCP,66,0.00005,55330  >  443 [ACK] Seq=1344 Ack=618 Win=131136 Len=0 TSval=1054097608 TSecr=216036766
928,7.2389,104.81.18.27,10.19.6.231,TCP,66,0.000938,443  >  55330 [ACK] Seq=618 Ack=1375 Win=20864 Len=0 TSval=216036767 TSecr=1054097609
930,7.25722,103.254.155.35,10.19.6.231,TCP,74,0.003041,"443  >  55332 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=9176 SACK_PERM=1 TSval=216036768 TSecr=1054097625 WS=128"
931,7.257308,10.19.6.231,103.254.155.35,TCP,66,0.000088,55332  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1054097628 TSecr=216036768
933,7.258925,103.254.155.35,10.19.6.231,TCP,66,0.001378,443  >  55332 [ACK] Seq=1 Ack=530 Win=19456 Len=0 TSval=216036769 TSecr=1054097628
937,7.292566,10.19.6.231,104.81.18.27,TCP,66,0.000065,55330  >  443 [ACK] Seq=1375 Ack=2710 Win=129024 Len=0 TSval=1054097661 TSecr=216036772
938,7.292567,10.19.6.231,104.81.18.27,TCP,66,0.000063,55330  >  443 [ACK] Seq=1375 Ack=2817 Win=128896 Len=0 TSval=1054097661 TSecr=216036772
940,7.322774,10.19.6.231,103.254.155.35,TCP,66,0.000083,55329  >  443 [ACK] Seq=1080 Ack=1413 Win=130304 Len=0 TSval=1054097691 TSecr=216036774
942,7.36522,10.19.6.231,104.81.18.27,TCP,66,0.000133,55331  >  443 [ACK] Seq=600 Ack=261 Win=131456 Len=0 TSval=1054097733 TSecr=216036779
946,7.372243,104.81.18.27,10.19.6.231,TCP,66,0.003665,443  >  55331 [ACK] Seq=261 Ack=680 Win=19584 Len=0 TSval=216036780 TSecr=1054097736
947,7.372251,104.81.18.27,10.19.6.231,TCP,66,0.003295,443  >  55331 [ACK] Seq=261 Ack=766 Win=19584 Len=0 TSval=216036780 TSecr=1054097736
948,7.372658,104.81.18.27,10.19.6.231,TCP,66,0.003202,443  >  55331 [ACK] Seq=261 Ack=1200 Win=20736 Len=0 TSval=216036780 TSecr=1054097736
950,7.428546,10.19.6.231,104.81.18.27,TCP,66,0.000083,55331  >  443 [ACK] Seq=1200 Ack=532 Win=131200 Len=0 TSval=1054097794 TSecr=216036786
952,7.429488,10.19.6.231,104.81.18.27,TCP,66,0.000047,55331  >  443 [ACK] Seq=1200 Ack=602 Win=131136 Len=0 TSval=1054097794 TSecr=216036786
954,7.430677,104.81.18.27,10.19.6.231,TCP,66,0.00105,443  >  55331 [ACK] Seq=602 Ack=1231 Win=20736 Len=0 TSval=216036786 TSecr=1054097795
956,7.433099,10.19.6.231,104.81.18.27,TCP,66,0.000098,55331  >  443 [ACK] Seq=1231 Ack=1040 Win=130688 Len=0 TSval=1054097798 TSecr=216036786
959,7.477971,104.81.18.27,10.19.6.231,TCP,66,0.032248,443  >  55331 [ACK] Seq=1040 Ack=1614 Win=22016 Len=0 TSval=216036791 TSecr=1054097810
964,7.503457,10.19.6.231,104.81.18.27,TCP,66,0.000106,55331  >  443 [ACK] Seq=1614 Ack=3132 Win=128960 Len=0 TSval=1054097866 TSecr=216036793
965,7.503515,10.19.6.231,104.81.18.27,TCP,66,0.000083,55331  >  443 [ACK] Seq=1614 Ack=5224 Win=126848 Len=0 TSval=1054097866 TSecr=216036793
969,7.518385,10.19.6.231,104.81.18.27,TCP,66,0.000476,55331  >  443 [ACK] Seq=1614 Ack=6672 Win=129600 Len=0 TSval=1054097881 TSecr=216036794
970,7.518476,10.19.6.231,104.81.18.27,TCP,66,0.000143,55331  >  443 [ACK] Seq=1614 Ack=7470 Win=128768 Len=0 TSval=1054097881 TSecr=216036794
972,7.558844,104.81.18.27,10.19.6.231,TCP,66,0.00098,443  >  55330 [ACK] Seq=2817 Ack=1549 Win=22144 Len=0 TSval=216036799 TSecr=1054097919
975,7.57889,104.81.18.27,10.19.6.231,TCP,66,0.003091,443  >  55330 [ACK] Seq=2817 Ack=1636 Win=22144 Len=0 TSval=216036800 TSecr=1054097936
977,7.580473,104.81.18.27,10.19.6.231,TCP,66,0.001326,443  >  55330 [ACK] Seq=2817 Ack=1736 Win=22144 Len=0 TSval=216036801 TSecr=1054097939
980,7.590381,104.81.18.27,10.19.6.231,TCP,66,0.000931,443  >  55330 [ACK] Seq=2817 Ack=1864 Win=23296 Len=0 TSval=216036802 TSecr=1054097948
981,7.591164,104.81.18.27,10.19.6.231,TCP,66,0.000945,443  >  55330 [ACK] Seq=2817 Ack=1975 Win=23296 Len=0 TSval=216036802 TSecr=1054097948
983,7.593623,103.254.155.35,10.19.6.231,TCP,74,0.00124,"443  >  55333 [SYN, ACK] Seq=0 Ack=1 Win=18328 Len=0 MSS=9176 SACK_PERM=1 TSval=216036802 TSecr=1054097950 WS=128"
984,7.59371,10.19.6.231,103.254.155.35,TCP,66,0.000087,55333  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=1054097951 TSecr=216036802
986,7.595384,103.254.155.35,10.19.6.231,TCP,66,0.001392,443  >  55333 [ACK] Seq=1 Ack=556 Win=19456 Len=0 TSval=216036802 TSecr=1054097951
990,7.598641,10.19.6.231,103.254.155.35,TCP,66,0.000119,55332  >  443 [ACK] Seq=530 Ack=2897 Win=129600 Len=0 TSval=1054097954 TSecr=216036802
991,7.598642,10.19.6.231,103.254.155.35,TCP,66,0.000113,55332  >  443 [ACK] Seq=530 Ack=4097 Win=128384 Len=0 TSval=1054097954 TSecr=216036802
993,7.599222,10.19.6.231,103.254.155.35,TCP,66,0.000094,55332  >  443 [ACK] Seq=530 Ack=5453 Win=129664 Len=0 TSval=1054097955 TSecr=216036803
996,7.60568,103.254.155.35,10.19.6.231,TCP,66,0.001345,443  >  55332 [ACK] Seq=5453 Ack=623 Win=19456 Len=0 TSval=216036803 TSecr=1054097959
997,7.605872,103.254.155.35,10.19.6.231,TCP,66,0.001064,443  >  55332 [ACK] Seq=5453 Ack=1221 Win=20608 Len=0 TSval=216036803 TSecr=1054097959
1004,7.691036,10.19.6.231,103.254.155.35,TCP,66,0.000115,55332  >  443 [ACK] Seq=1221 Ack=5743 Win=130752 Len=0 TSval=1054098044 TSecr=216036812
1006,7.692465,10.19.6.231,103.254.155.35,TCP,66,0.000119,55332  >  443 [ACK] Seq=1221 Ack=6289 Win=130496 Len=0 TSval=1054098045 TSecr=216036812
1009,7.725997,10.19.6.231,104.81.18.27,TCP,66,0.000064,55330  >  443 [ACK] Seq=1975 Ack=5606 Win=129728 Len=0 TSval=1054098077 TSecr=216036815
1011,7.743539,10.19.6.231,104.81.18.27,TCP,66,0.000075,55330  >  443 [ACK] Seq=1975 Ack=6652 Win=129984 Len=0 TSval=1054098094 TSecr=216036817
1014,7.752488,10.19.6.231,104.81.18.27,TCP,66,0.000074,55330  >  443 [ACK] Seq=1975 Ack=9393 Win=128320 Len=0 TSval=1054098102 TSecr=216036818
